College Name,Location,Rating,Reviews,NIRF Ranking,College URL,Course Title,Total Fees,Course Mode,Course Duration,Course Description,Eligibility Criteria,Selection Process,Entrance Exam,Total Seats
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,4.7/5,119 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras/mtech-computer-science-and-engineering-course,M.Tech Computer Science and Engineering at IIT Madras (IITM) Offline Course,General₹ 30.45 K,Full time,24 Months,Master of Technology in Computer Science and Engineering is two years (4 Semester) full-time postgraduate engineering program offered by Indian Institute of Technology Madras.,"FOR GATE QUALIFIED CANDIDATES Candidates qualified in GATE 2022, GATE 2023, or GATE 2024 and satisfying any one of the following: i. Bachelor’s degree in Engineering/ Technology/ Architecture from Educational Institutions approved by AICTE/ Government* ii. Master’s degree in Chemistry/ Life Sciences/ Mathematics/ Physics related subjects from educational Institutions approved by UGC/ Government* iii. Degrees obtained through Distance Education/ Correspondence Mode for the qualifying degree specified in [(i) or (ii)]. The Departments will follow suitability test/ interview procedure for screening in such cases. iv. Candidates yet to appear or have appeared in the final examination for the qualifying degree specified in [(i) or (ii)] and whose results are likely to be declared by July 15, 2024 v. Associate Membership holders of professional bodies for Admission into their parent disciplines from the following: • The Institution of Engineers (India) (AMIE) • The Aeronautical Society of India (AMAeSI) (eligible only for aerodynamics, structures, and propulsions streams) • The Indian Institute of Metals (AMIIM) • The Indian Institute of Chemical Engineers, including Polymer and Environmental Group (AMIIChemE) • The Institution of Electronics and Telecommunication Engineers (AMIETE) * If the degree is issued by a university in countries other than India, the degree must be recognized by the Association of Indian Universities (AIU)/ Commonwealth Universities/ International Association of Universities (IAU) as equivalent to the corresponding Indian Degrees/ Certificates. Additional requirements of GRE/ TOEFL may be required.FOR IIT GRADUATES Candidates graduating/ graduated from IITs with B.Tech. degree and having CGPA of 8.0 (on a scale of 10) and above can apply without GATE Score. These applications will be reviewed by the respective Department(s). FOR SPONSORED CANDIDATES Candidates employed and sponsored (with full pay and allowances for 24 months) by industry/ government organizations/ private and public enterprises, engaged in R&D work recognized by DST/ engineering colleges recognized by AICTE, possessing at least two years of professional experience as on the last date of receipt of applications at IIT Madras can apply, provided they hold: (i) B.E/ B.Tech. degree from AICTE recognized Engineering Colleges/ University with first class or 60% aggregate marks in all the four years (no need for having GATE Score); or (ii) AMIE or any other Associate memberships listed above (no need for having a GATE Score)",The admission for this programme is based on the percentile score in the Graduate Aptitude Test in Engineering (GATE) and personal interviews conducted at IIT Madras.,GATE,67
"IISc Bangalore - Indian Institute of Science, Bangalore",N/A,4.7/5,43 Reviews,NIRF Ranking: 2,https://www.careers360.com/university/indian-institute-of-science-bangalore/mtech-computer-science-and-engineering-course,M.Tech Computer Science and Engineering at IISc Bangalore Offline Course,General₹ 28.40 K,Full time,24 Months,"Master of Technology (MTech) in Computer Science and Engineering is a full-time two-year postgraduate course and it is offered by the Indian Institute of Science, Bangalore.",A Candidate must be passed Bachelor’s degree holders in Engineering/Technology or its equivalent.Bachelor’s degree holders in Physics/ Chemistry/ Mathematics/ Statistics/ Computer Science/ Electronics followed by qualifications obtained through an examination conducted by professional societies recognized by UPSC/AICTE.Master’s degree holders in Science including Physics with Electronics/ Instrumentation/Geology/ Computer Applications/ Physical Sciences/ Mathematical Sciences as applicable to individual departments offering MTech programmes.All the candidates should qualify for the Graduate Aptitude Test in Engineering (GATE) for the M.Tech program.For Sponsored Candidates: BE / B Tech or equivalent degree in Computer Science / Engineering; Information Technology; Information Science/Engineering.,Selection is based on the Valid GATE score only.For Sponsored Candidates: Selection will be based on the performance in the interview.,GATE,62
IIT Bombay - Indian Institute of Technology Bombay,N/A,4.6/5,162 Reviews,NIRF Ranking: 3,https://www.careers360.com/university/indian-institute-of-technology-bombay/mtech-computer-science-and-engineering-course,M.Tech Computer Science and Engineering at IIT Bombay Offline Course,General₹ 1.11 L,Full time,24 Months,Master of Technology in Computer Science and Engineering is two years (4 Semester) full-time postgraduate engineering program offered by Indian Institute of Technology Bombay.,"Candidates with First class or 60% (55% marks for SC/ST) marks in B.E./ B.Tech./ B.Sc. (Engineering)/ M.Sc./ M.C.A./ MBBS/ M.Pharm./ B.Pharm.(4 yr. Degree)/ BDS (4 yr. Degree)/ Associate Membership Examinations conducted by recognized professional bodies (like Institution of Engrs. (India), Institute of Chemical Engrs., Aeronautical Society of India, Institute of Electronics & Telecommunication Engrs., Indian Institute of Metals, etc.) and  recognized as equivalent to B.E. / B.Tech. Degree.For GN/OBC (NC) category:(1) a minimum of 60% marks in aggregate in the qualifying degree.    OR,(2) a First Class as specified by the University.   OR,(3) a minimum Cumulative Grade Point Average (CGPA)/ Cumulative Performance Index (CPI) of   6.0 on the scale of 0­10;   or an equivalent to 6.0 on other corresponding proportional requirements when the scales are other than 0­10. in the qualifying  degree.For SC/ST/PwD category:(1) a minimum of 55% marks in aggregate in the qualifying degree. OR, (2)  a minimum Cumulative Grade Point Average (CGPA)/ Cumulative Performance Index CPI) of 5.5 on the scale of 0­10; an equivalent to 5.6 on another corresponding proportional requirement when the scales are other than 0­10. in the qualifying degree.","Admissions are done the basis of rank obtained in GATE, Test and interview.",GATE,85
IIT Delhi - Indian Institute of Technology Delhi,N/A,4.6/5,285 Reviews,NIRF Ranking: 4,https://www.careers360.com/university/indian-institute-of-technology-delhi/msc-chemistry-course,M.Sc Chemistry at IIT Delhi Offline Course,General₹ 61.75 K,Full time,24 Months,Master of Science in Chemistry is a two-year full-time Postgraduate Chemistry Department course and it is offered by Indian Institute of Technology Delhi.,"At least 55% aggregate marks(taking into account all subjects including languages
and subsidiaries, all years combined) for General category candidates and at least
50% aggregate marks (taking into account all subjects, including languages and
subsidiaries, all years combined) for SC / ST and PD category candidates in the
qualifying degreeFor Candidates with letter grades / CGPA (instead of percentage of marks), the
equivalence in percentage of marks is decided by the Admitting Institute(s).
For M.Sc. (Chemistry) Bachelor’s degree with Chemistry as a subject for three years /
six semesters and Mathematics at (10+2) level. For M.Sc. (Mathematics) Bachelor’s
degree with Mathematics as a subject for at least two years/four semesters. For M.Sc.
(Physics) Bachelor’s degree with Physics as a subject for three years / six semesters and
Mathematics for at least one year/two semesters.",Admissions are done on the basis of score in JAM.,JAM,68
IIT Kanpur - Indian Institute of Technology Kanpur,N/A,4.4/5,161 Reviews,NIRF Ranking: 5,https://www.careers360.com/university/indian-institute-of-technology-kanpur/msc-statistics-course,M.Sc Statistics at IIT Kanpur Offline Course,General₹ 33.45 K,Full time,24 Months,Master of Science in Statistics is two years (4 Semester) full-time postgraduate program in science stream offered by Indian Institute of Technology Kanpur.,"All Applicants admitted through JAM should have a Bachelor’s degree.At least 55% aggregate marks, without rounding off, (taking into account all subjects, including Languages and Subsidiaries, all years combined) for General/OBC-NCL Category Applicants and at least 50% aggregate marks, without rounding off, (taking into account all subjects, including Languages and Subsidiaries, all years combined) for SC/ST and PwD Category Applicants in the qualifying degree.",Admission is done once a year in the month of July through the Joint Admission Test for MS (JAM) conducted on an all India level.,JAM,62
IIT Kharagpur - Indian Institute of Technology Kharagpur,N/A,4.7/5,326 Reviews,NIRF Ranking: 6,https://www.careers360.com/university/indian-institute-of-technology-kharagpur/mtech-metallurgical-and-materials-engineering-course,M.Tech Metallurgical and Materials Engineering at IIT Kharagpur Offline Course,General₹ 45.85 K,Full time,24 Months,Master of Technology (M.Tech) in Metallurgical and Materials Engineering is a two-year (4 semesters) full-time postgraduate program offered at the Indian Institute of Technology Kharagpur.,The program is open to candidates of all categories with a Bachelor's Degree in Engineering/Technology/Architecture/M.Sc or equivalent professional degrees (AMIE etc.) and having valid GATE score.Make sure that your GATE marks are above the cut-off marks of your category and GATE paper.For institutes awarding degree based on aggregate marks secured in all years of the qualifying degree:       (a) GE/OBC/EWS: Min. of 60% marks (or a CGPA of 6.5 on a 10 point scale)       (b) SC/ST/PwD: Min. of 55% marks (or a CGPA of 6.0 on a 10 point scale)For institutes awarding degree based on aggregate marks secured in the final two semesters or final year of the qualifying degree:       (a) GE/OBC/EWS: Min. of 60% marks (or a CGPA of 6.5 on a 10 point scale)       (b) SC/ST/PwD: Min. of 55% marks (or a CGPA of 6.0 on a 10 point scale).,"The admission will be based on either GATE Score only or GATE Score (70 % weightage) and a personal interview (30 % weightage). The personal interview will be held to test the following: (a) Motivation and aptitude for the Programme (b) Suitability for the department/center (c) Skills in basic science, engineering, and relevant areas. The personal interview will be conducted at IIT Kharagpur only.Important Note: For specializations where admission is based on both GATE score and interview, a candidate who fails to appear for the personal interview will not be considered for admission in that specialization.",GATE,67
AIIMS Delhi - All India Institute of Medical Sciences New Delhi,N/A,4.6/5,23 Reviews,NIRF Ranking: 7,https://www.careers360.com/university/all-india-institute-of-medical-sciences-new-delhi/mch-cardio-thoracic-and-vascular-surgery-course,M.Ch Cardio Thoracic and Vascular Surgery at AIIMS Delhi Offline Course,N/A,Full time,36 Months,M.Ch Cardio Thoracic and Vascular Surgery is a three-year Super speciality course of All India Institute of Medical Sciences New Delhi approved by National Medical Commission.,"Required Qualification:A candidate must possess a degree in an M.S. degree in Surgery of this Institute or any other University or any other equivalent degree recognized by the MCI.Age Limit:Upper Age limit is 35 years as on 1 st January.The upper age limit is relaxable for OBC Candidates by a maximum of 3 years.Upper age limit is relaxable in case of SC/ST candidates by a maximum of 5 years.The upper age limit is relaxable for Ex-Serviceman and Commissioned Officer including ECO, SSCO who have rendered or released on satisfactory assignment with age relaxation by a maximum of 5 years.The upper age limit is not applicable to sponsored candidates.The persons with benchmark disabilities shall be given an upper age relaxation of five years for admission to DM/M.Ch for PWD candidates as per Right of persons with Disability Act, 2016.","Selections for M.Ch courses are made through the 2-Stage Performance Evaluation basis:Stage I: Written-test carrying 80 marks of 90 minutes duration in the subject the candidate has applied for. The question paper will consist of 80 Multiple Choice Questions (MCQs).Stage II: Out of the candidates who are 50th percentile or above [as per the decision of the meeting of the Academic Committee in the written test (Stage-I), candidates 3 times the number of seats advertised will be called for departmental clinical/practical/lab based assessment (carrying 20 marks).Final Selection: The Final result will be declared based on total marks obtained in stage-1 and Stage-II Examination.",INI CET,32
IIT Roorkee - Indian Institute of Technology Roorkee,N/A,4.4/5,410 Reviews,NIRF Ranking: 8,https://www.careers360.com/university/indian-institute-of-technology-roorkee/msc-chemistry-course,M.Sc Chemistry at IIT Roorkee Offline Course,General₹ 60.20 K,Full time,24 Months,Master of Science in Chemistry is two years (4 Semester) full-time postgraduate program in Science stream offered by Indian Institute of Technology Roorkee.,"All Applicants admitted through JAM should have a Bachelor’s degree. In the qualifying degree, the aggregate marks or CGPA/CPI without rounding-off (taking into account all subjects, including languages and subsidiaries, all years combined)  should be at least 55% or 5.5 out of 10 for General/OBC (NCL)  category candidates and  50%  or  5.0  out  of  10  for SC/ST and PwD category candidates.","Admissions are made through Joint Admission Test for M.Sc. (JAM) is an all-India entrance examination administered and conducted across the country jointly by the Indian Institute of Science, Bangalore (IISc) and Indian Institutes of Technology (IITs) on behalf of Ministry of Human Resources Development (MHRD), Government of India.",JAM,44
IIT Guwahati (IITG) - Indian Institute of Technology Guwahati,N/A,4.3/5,187 Reviews,NIRF Ranking: 9,https://www.careers360.com/university/indian-institute-of-technology-guwahati/mtech-computer-science-engineering-course,M.Tech Computer Science Engineering at IIT Guwahati (IITG) Offline Course,General₹ 53.15 K,Full time,24 Months,Master of Technology in Computer Science Engineering is two years (4 Semester) full-time postgraduate Computer Science & Engineering department program and it is offered by the Indian Institute of Technology Guwahati.,"A candidate must have Minimum CPI of 6.5 or 60% of marks or First Class in the qualifying degree, fulfilling specific requirements for different disciplines, as indicated below:All regular category candidates (except those having BTech degrees from an IIT with a minimum CPI of 7.0) must possess a valid score of Graduate Aptitude Test in Engineering (GATE). For eligibility for financial assistance for regular category candidates, please see the section “Financial Support” below.Minimum experience required for Sponsored (Full-time) and Part-Time categories of candidates has also been indicated below.Bachelor’s degree in Engineering / Technology or equivalent in an appropriate area or MSc (Computer Science/Information Technology) or Graduates (AMIETE) from Institution of Electronics and Telecommunication Engineers (IETE) in Computer Science & Engineering or MCA from a recognized Institution and a valid GATE score in CS.MSc (Mathematics/Mathematics & Computing/Statistics) from a recognized Institution, with a minimum CPI of 6.5 or 60% of marks or First Class in the qualifying degree, and a valid GATE score in MA.","Admissions are done on the basis of rank in GATE, Group Discussion and personal interview",GATE,68
"JNU Delhi - Jawaharlal Nehru University, New Delhi",N/A,4.5/5,86 Reviews,NIRF Ranking: 10,https://www.careers360.com/university/jawaharlal-nehru-university-new-delhi/mca-course,MCA at JNU Delhi Offline Course,General₹ 610,Full time,36 Months,"Master of Computer Applications is three years full-time course degree offered by Jawaharlal Nehru University, New Delhi. The various programs offered in the School of Computer and System Sciences are M.C.A. (6 Semesters).","A candidate must have passed the Bachelor’s degree in any discipline with adequate competence in
Mathematics under 10+2+3 pattern of education with at least 55%
marks.","The candidates shall be admitted to the MCA program each year on the basis of their performance in the Computer Based Test
(CBT) conducted by the University.",CUET PG,60
